departure_date,booking_date,cum_bookings
5/5/2012,4/8/2012,14
5/5/2012,4/9/2012,16
5/5/2012,4/10/2012,17
5/5/2012,4/11/2012,22
5/5/2012,4/12/2012,22
5/5/2012,4/13/2012,22
5/5/2012,4/14/2012,22
5/5/2012,4/15/2012,22
5/5/2012,4/16/2012,25
5/5/2012,4/17/2012,27
5/5/2012,4/18/2012,29
5/5/2012,4/19/2012,32
5/5/2012,4/20/2012,34
5/5/2012,4/21/2012,35
5/5/2012,4/22/2012,37
5/5/2012,4/23/2012,42
5/5/2012,4/24/2012,46
5/5/2012,4/25/2012,47
5/5/2012,4/26/2012,52
5/5/2012,4/27/2012,55
5/5/2012,4/28/2012,56
5/5/2012,4/29/2012,60
5/5/2012,4/30/2012,66
5/5/2012,5/1/2012,68
5/5/2012,5/2/2012,78
5/5/2012,5/3/2012,86
5/5/2012,5/4/2012,106
5/5/2012,5/5/2012,145
5/6/2012,3/7/2012,0
5/6/2012,3/8/2012,4
5/6/2012,3/9/2012,4
5/6/2012,3/10/2012,4
5/6/2012,3/11/2012,4
5/6/2012,3/12/2012,4
5/6/2012,3/13/2012,4
5/6/2012,3/14/2012,4
5/6/2012,3/15/2012,4
5/6/2012,3/16/2012,4
5/6/2012,3/17/2012,4
5/6/2012,3/18/2012,4
5/6/2012,3/19/2012,4
5/6/2012,3/20/2012,4
5/6/2012,3/21/2012,4
5/6/2012,3/22/2012,4
5/6/2012,3/23/2012,6
5/6/2012,3/24/2012,6
5/6/2012,3/25/2012,6
5/6/2012,3/26/2012,6
5/6/2012,3/27/2012,7
5/6/2012,3/28/2012,8
5/6/2012,3/29/2012,8
5/6/2012,3/30/2012,10
5/6/2012,3/31/2012,10
5/6/2012,4/1/2012,10
5/6/2012,4/2/2012,10
5/6/2012,4/3/2012,10
5/6/2012,4/4/2012,12
5/6/2012,4/5/2012,19
5/6/2012,4/6/2012,19
5/6/2012,4/7/2012,19
5/6/2012,4/8/2012,19
5/6/2012,4/9/2012,19
5/6/2012,4/10/2012,20
5/6/2012,4/11/2012,25
5/6/2012,4/12/2012,28
5/6/2012,4/13/2012,32
5/6/2012,4/14/2012,32
5/6/2012,4/15/2012,32
5/6/2012,4/16/2012,37
5/6/2012,4/17/2012,43
5/6/2012,4/18/2012,45
5/6/2012,4/19/2012,49
5/6/2012,4/20/2012,51
5/6/2012,4/21/2012,51
5/6/2012,4/22/2012,52
5/6/2012,4/23/2012,53
5/6/2012,4/24/2012,61
5/6/2012,4/25/2012,62
5/6/2012,4/26/2012,70
5/6/2012,4/27/2012,73
5/6/2012,4/28/2012,75
5/6/2012,4/29/2012,76
5/6/2012,4/30/2012,85
5/6/2012,5/1/2012,92
5/6/2012,5/2/2012,107
5/6/2012,5/3/2012,112
5/6/2012,5/4/2012,123
5/6/2012,5/5/2012,141
5/6/2012,5/6/2012,171
5/7/2012,3/8/2012,4
5/7/2012,3/9/2012,5
5/7/2012,3/10/2012,5
5/7/2012,3/11/2012,5
5/7/2012,3/12/2012,5
5/7/2012,3/13/2012,5
5/7/2012,3/14/2012,5
5/7/2012,3/15/2012,5
5/7/2012,3/16/2012,5
5/7/2012,3/17/2012,5
5/7/2012,3/18/2012,5
5/7/2012,3/19/2012,5
5/7/2012,3/20/2012,5
5/7/2012,3/21/2012,5
5/7/2012,3/22/2012,5
5/7/2012,3/23/2012,10
5/7/2012,3/24/2012,10
5/7/2012,3/25/2012,10
5/7/2012,3/26/2012,11
5/7/2012,3/27/2012,12
5/7/2012,3/28/2012,13
5/7/2012,3/29/2012,14
5/7/2012,3/30/2012,16
5/7/2012,3/31/2012,16
5/7/2012,4/1/2012,16
5/7/2012,4/2/2012,16
5/7/2012,4/3/2012,20
5/7/2012,4/4/2012,22
5/7/2012,4/5/2012,29
5/7/2012,4/6/2012,29
5/7/2012,4/7/2012,30
5/7/2012,4/8/2012,30
5/7/2012,4/9/2012,32
5/7/2012,4/10/2012,34
5/7/2012,4/11/2012,41
5/7/2012,4/12/2012,44
5/7/2012,4/13/2012,48
5/7/2012,4/14/2012,48
5/7/2012,4/15/2012,48
5/7/2012,4/16/2012,56
5/7/2012,4/17/2012,66
5/7/2012,4/18/2012,73
5/7/2012,4/19/2012,80
5/7/2012,4/20/2012,81
5/7/2012,4/21/2012,81
5/7/2012,4/22/2012,82
5/7/2012,4/23/2012,87
5/7/2012,4/24/2012,96
5/7/2012,4/25/2012,100
5/7/2012,4/26/2012,108
5/7/2012,4/27/2012,118
5/7/2012,4/28/2012,119
