departure_date,booking_date,cum_bookings,final_demand,naive_forecast
7/31/2012,7/30/2012,306,345,361.2560693
7/31/2012,7/29/2012,280,345,360.5714166
7/31/2012,7/28/2012,271,345,374.0965552
7/31/2012,7/27/2012,261,345,384.0165115
7/31/2012,7/26/2012,246,345,384.858788
7/31/2012,7/25/2012,235,345,392.2494747
7/31/2012,7/24/2012,219,345,392.4452838
7/31/2012,7/23/2012,181,345,392.4452838
7/31/2012,7/22/2012,168,345,392.4452838
7/31/2012,7/21/2012,162,345,392.4452838
7/31/2012,7/20/2012,159,345,392.4452838
7/31/2012,7/19/2012,141,345,392.4452838
7/31/2012,7/18/2012,128,345,392.4452838
7/31/2012,7/17/2012,123,345,392.4452838
7/31/2012,7/16/2012,114,345,392.4452838
7/31/2012,7/15/2012,102,345,392.4452838
7/31/2012,7/14/2012,100,345,392.4452838
7/31/2012,7/13/2012,99,345,392.4452838
7/31/2012,7/12/2012,82,345,392.4452838
7/31/2012,7/11/2012,76,345,392.4452838
7/31/2012,7/10/2012,70,345,392.4452838
7/31/2012,7/9/2012,61,345,392.4452838
7/31/2012,7/8/2012,57,345,392.4452838
7/31/2012,7/7/2012,57,345,392.4452838
7/31/2012,7/6/2012,57,345,392.4452838
7/31/2012,7/5/2012,57,345,392.4452838
7/31/2012,7/4/2012,54,345,392.4452838
7/31/2012,7/3/2012,54,345,392.4452838
